host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
5.182.26.129;5.182.26.129;4145;3908;280;1512569;UZ;Uzbekistan;Tashkent;208;2;4;0;0;1;0
95.31.2.199;95.31.2.199;4145;3909;100;524901;RU;Russian Federation;Moscow;2577;586;4;0;0;1;0
202.21.113.146;202.21.113.146;39060;3910;640;2028462;MN;Mongolia;"""Ulan Bator""";4632;278;4;0;0;1;0
85.105.201.226;85.105.201.226;56555;3910;1580;747014;TR;Turkey;Gebze;3290;385;4;0;0;1;0
202.138.234.18;202.138.234.18;59235;3910;1140;1650357;ID;Indonesia;Bandung;1067;495;4;0;0;1;0
170.238.163.5;170.238.163.5;4145;3910;1380;3450554;BR;Brazil;Salvador;36;73;4;0;0;1;0
187.0.1.237;187.0.1.237;4145;3912;1360;3445071;BR;Brazil;"""Vila Flores""";2934;316;4;0;0;1;0
45.250.168.35;45.250.168.35;4145;3914;1280;1269750;IN;India;;291;75;4;0;0;1;0
165.165.132.60;165.165.132.60;10801;3915;3000;976361;ZA;South Africa;Middelburg;142;9;4;0;0;1;0
77.37.208.119;77.37.208.119;55491;3916;3080;524901;RU;Russian Federation;Moscow;5191;512;4;0;0;1;0
95.77.104.79;95.77.104.79;37975;3916;460;680963;RO;Romania;"""Constanța""";2955;507;4;0;0;1;0
185.185.113.64;185.185.113.64;1080;3921;640;314830;TR;Turkey;Gaziantep;218;11;4;0;0;1;0
1.20.97.4;1.20.97.4;52237;3926;3480;1605651;TH;Thailand;;1116;1533;4;1;0;0;0
1.0.0.122;1.0.0.122;80;3936;260;2061039;AU;Australia;Stirling;1002;0;1;1;0;0;0
176.221.116.10;176.221.116.10;4145;3937;480;3082573;;;;2181;630;4;0;0;1;0
109.86.198.220;109.86.198.220;4145;3955;240;706483;UA;Ukraine;Kharkiv;3368;643;4;0;0;1;0
197.157.254.162;197.157.254.162;4145;3956;4560;2259655;CG;Congo;Impfondo;202;79;4;0;0;1;0
105.247.148.210;105.247.148.210;37159;3958;2440;7871262;ZA;South Africa;Sunninghill;156;8;4;0;0;1;0
5.59.143.43;5.59.143.43;4145;3960;3140;501175;RU;Russian Federation;Rostov-on-Don;1263;459;4;0;0;1;0
94.180.249.187;94.180.249.187;59723;3964;180;551487;RU;Russian Federation;"""Kazan’""";2517;590;4;0;0;1;0
91.203.236.226;91.203.236.226;60269;3966;260;511196;RU;Russian Federation;Perm;1038;149;4;0;0;1;0
45.224.23.74;45.224.23.74;4145;3967;1200;3652315;;;;158;8;4;0;0;1;0
193.169.5.14;193.169.5.14;54861;3968;1200;502018;RU;Russian Federation;Reutov;4901;489;4;0;0;1;0
46.173.35.229;46.173.35.229;3629;3968;100;480060;RU;Russian Federation;Tver;1500;120;4;0;0;1;0
91.144.142.19;91.144.142.19;46138;3972;80;551487;RU;Russian Federation;"""Kazan’""";3222;494;4;0;0;1;0
185.183.93.141;185.183.93.141;4145;3972;240;702569;UA;Ukraine;Lutsk;2050;412;4;0;0;1;0
202.44.209.83;202.44.209.83;4145;3972;2640;1614295;TH;Thailand;Pattaya;84;13;4;0;0;1;0
186.46.250.114;186.46.250.114;49924;3974;1200;3658394;EC;Ecuador;;2462;286;4;0;0;1;0
5.59.143.152;5.59.143.152;4145;3976;140;518970;RU;Russian Federation;Novocherkassk;687;79;4;0;0;1;0
85.175.5.6;85.175.5.6;4145;3977;200;561667;RU;Russian Federation;Gelendzhik;2912;580;4;0;0;1;0
194.135.97.126;194.135.97.126;4145;3977;100;563705;RU;Russian Federation;Dzerzhinskiy;3283;896;4;0;0;1;0
1.0.0.81;1.0.0.81;80;3996;260;2061039;AU;Australia;Stirling;942;0;1;1;0;0;0
103.138.226.35;103.138.226.35;3128;4015;5100;1210997;BD;Bangladesh;;187;345;1;1;0;0;0
118.175.93.38;118.175.93.38;44013;4016;2180;1605651;TH;Thailand;;1668;246;4;0;0;1;0
143.255.52.102;143.255.52.102;31158;4018;5100;3388145;BR;Brazil;"""Sao Raimundo Nonato""";121;250;4;1;0;0;0
