city_id|city_name|region_id|region_name|uik_id|uik_name|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|F13|F14|F15|F16|
1|Москва|4|район Гольяново|978|УИК №978|2012|1500|495|35|970|35|494|18|511|0|0|10|53|56|48|344|
1|Москва|4|район Гольяново|979|УИК №979|2314|1800|520|53|1227|53|520|18|555|0|0|15|55|68|47|370|
1|Москва|4|район Гольяново|980|УИК №980|2175|1600|532|60|1008|60|532|16|576|0|0|19|47|51|42|417|
1|Москва|4|район Гольяново|981|УИК №981|2236|1700|500|53|1147|53|500|19|534|0|0|9|38|85|57|345|
1|Москва|4|район Гольяново|982|УИК №982|1888|1400|454|37|909|37|454|12|479|0|0|5|49|52|21|352|
1|Москва|4|район Гольяново|983|УИК №983|2160|1600|575|63|962|63|575|15|623|0|0|9|55|72|75|412|
1|Москва|4|район Гольяново|984|УИК №984|2474|1800|699|45|1056|45|699|25|719|0|0|21|49|123|54|472|
1|Москва|4|район Гольяново|985|УИК №985|2328|1800|508|76|1216|76|508|17|567|0|0|8|45|78|37|399|
1|Москва|4|район Гольяново|986|УИК №986|2283|1700|590|34|1076|34|590|8|616|0|0|15|54|75|46|426|
1|Москва|4|район Гольяново|987|УИК №987|2321|1700|547|21|1132|21|547|22|546|0|0|6|44|77|30|389|
1|Москва|4|район Гольяново|988|УИК №988|2102|1600|626|27|947|27|626|18|635|0|0|16|64|97|44|414|
1|Москва|4|район Гольяново|989|УИК №989|2172|1600|597|13|990|13|597|24|586|0|0|6|57|62|53|408|
1|Москва|5|район Ивановское|||79206|61500|23417|1431|36652|1430|23363|679|24114|0|0|479|1920|2941|1817|16957|
1|Москва|5|район Ивановское|990|УИК №990|2123|1500|647|27|826|27|645|21|651|0|0|13|50|90|54|444|
1|Москва|5|район Ивановское|991|УИК №991|2009|1500|620|35|845|35|619|18|636|0|0|10|59|65|35|467|
1|Москва|5|район Ивановское|992|УИК №992|2279|1700|726|41|933|41|687|31|697|0|0|11|55|84|46|501|
1|Москва|5|район Ивановское|993|УИК №993|2261|1700|590|34|1076|34|590|22|602|0|0|18|47|83|46|408|
1|Москва|5|район Ивановское|994|УИК №994|2369|1700|668|34|998|34|668|21|681|0|0|16|42|100|47|476|
1|Москва|5|район Ивановское|995|УИК №995|2279|1700|609|60|1031|60|609|18|651|0|0|15|46|67|38|485|
1|Москва|5|район Ивановское|996|УИК №996|2333|1700|678|74|948|74|677|21|730|0|0|22|58|78|63|509|
1|Москва|5|район Ивановское|997|УИК №997|1979|1500|580|18|902|18|580|21|577|0|0|12|48|85|44|388|
1|Москва|5|район Ивановское|998|УИК №998|2250|1700|746|27|927|27|746|12|761|0|0|15|63|116|53|514|
1|Москва|5|район Ивановское|999|УИК №999|2349|1700|589|28|1083|28|589|15|602|0|0|14|45|74|50|419|
1|Москва|5|район Ивановское|1000|УИК №1000|2346|1700|694|35|971|34|691|32|693|0|0|6|85|88|60|454|
1|Москва|5|район Ивановское|1001|УИК №1001|2714|1600|931|45|624|45|931|24|952|0|0|20|84|87|55|706|
1|Москва|5|район Ивановское|1002|УИК №1002|1940|1500|519|32|949|32|519|22|529|0|0|12|46|65|51|355|
1|Москва|5|район Ивановское|1003|УИК №1003|1846|1500|483|22|995|22|483|8|497|0|0|10|40|60|46|341|
1|Москва|5|район Ивановское|1004|УИК №1004|1964|1500|578|26|896|26|576|20|582|0|0|9|64|76|54|379|
1|Москва|5|район Ивановское|1005|УИК №1005|2309|1700|636|26|1038|26|636|24|638|0|0|20|57|82|57|422|
1|Москва|5|район Ивановское|1006|УИК №1006|1872|1500|484|29|987|29|484|12|501|0|0|10|37|54|26|374|
1|Москва|5|район Ивановское|1007|УИК №1007|2071|1500|525|25|950|25|524|18|531|0|0|12|43|61|38|377|
1|Москва|5|район Ивановское|1008|УИК №1008|2004|1500|483|28|989|28|482|12|498|0|0|5|60|48|42|343|
1|Москва|5|район Ивановское|1009|УИК №1009|1996|1500|548|37|915|37|548|16|569|0|0|14|46|73|38|398|
1|Москва|5|район Ивановское|1010|УИК №1010|1938|1500|496|58|946|58|496|17|537|0|0|14|38|68|34|383|
1|Москва|5|район Ивановское|1011|УИК №1011|1954|1500|426|31|1043|31|426|12|445|0|0|10|36|55|57|287|
1|Москва|5|район Ивановское|1012|УИК №1012|2246|1700|645|33|1022|33|644|8|669|0|0|10|51|84|43|481|
1|Москва|5|район Ивановское|1013|УИК №1013|391|300|94|7|199|7|94|1|100|0|0|3|3|12|8|74|
1|Москва|5|район Ивановское|1014|УИК №1014|2206|1600|612|27|961|27|611|26|612|0|0|12|55|84|43|418|
1|Москва|5|район Ивановское|1015|УИК №1015|2172|1600|577|30|993|30|577|20|587|0|0|9|47|51|31|449|
1|Москва|5|район Ивановское|1016|УИК №1016|2163|1600|643|45|912|45|643|22|666|0|0|21|60|81|65|439|
1|Москва|5|район Ивановское|1017|УИК №1017|2349|1700|704|37|959|37|704|17|724|0|0|8|55|105|67|489|
1|Москва|5|район Ивановское|1018|УИК №1018|2112|1600|587|41|972|41|587|15|613|0|0|12|54|74|49|424|
1|Москва|5|район Ивановское|1019|УИК №1019|2417|2000|639|30|1331|30|638|15|653|0|0|20|54|79|49|451|
1|Москва|5|район Ивановское|1020|УИК №1020|2230|1600|637|19|944|19|637|15|641|0|0|11|46|92|53|439|
1|Москва|5|район Ивановское|1021|УИК №1021|1906|1500|514|47|939|47|514|13|548|0|0|5|51|59|47|386|
1|Москва|5|район Ивановское|1022|УИК №1022|1936|1500|585|41|874|41|585|19|607|0|0|11|45|82|52|417|
1|Москва|5|район Ивановское|1023|УИК №1023|2177|1600|585|32|983|32|585|27|590|0|0|4|57|78|55|396|
1|Москва|5|район Ивановское|1024|УИК №1024|2336|1700|689|35|976|35|689|9|715|0|0|12|19|83|16|585|
1|Москва|5|район Ивановское|1025|УИК №1025|1998|1600|549|34|1017|34|549|20|563|0|0|11|49|65|44|394|
1|Москва|5|район Ивановское|5196|УИК №5196|773|1000|431|63|506|63|430|2|491|0|0|4|29|47|31|380|
1|Москва|5|район Ивановское|5197|УИК №5197|643|1000|383|26|591|26|383|9|400|0|0|18|23|45|26|288|
1|Москва|5|район Ивановское|5198|УИК №5198|746|1000|493|52|455|52|493|12|533|0|0|10|28|73|44|378|
1|Москва|5|район Ивановское|5199|УИК №5199|762|1000|460|29|511|29|460|6|483|0|0|5|24|45|29|380|
1|Москва|5|район Ивановское|5200|УИК №5200|458|1000|334|31|635|31|334|6|359|0|0|5|21|43|31|259|
1|Москва|6|район Измайлово|||57496|44790|15837|1261|27692|1260|15820|585|16495|0|0|361|1417|2310|1450|10957|
1|Москва|6|район Измайлово|1026|УИК №1026|919|800|191|13|596|13|191|9|195|0|0|2|9|22|16|146|
1|Москва|6|район Измайлово|1027|УИК №1027|1370|1100|368|24|708|24|368|17|375|0|0|8|31|45|21|270|
1|Москва|6|район Измайлово|1028|УИК №1028|1608|1300|413|33|854|33|413|17|429|0|0|12|53|56|34|274|
1|Москва|6|район Измайлово|1029|УИК №1029|1680|1300|492|31|777|31|492|14|509|0|0|7|63|58|37|344|
1|Москва|6|район Измайлово|1030|УИК №1030|1589|1200|432|42|726|42|432|11|463|0|0|16|41|72|40|294|
1|Москва|6|район Измайлово|1031|УИК №1031|1595|1200|435|20|745|20|435|14|441|0|0|12|38|61|34|296|
1|Москва|6|район Измайлово|1032|УИК №1032|1637|1300|433|36|831|36|433|21|448|0|0|7|47|57|30|307|
1|Москва|6|район Измайлово|1033|УИК №1033|1289|1000|315|29|656|29|315|14|330|0|0|3|34|55|21|217|
1|Москва|6|район Измайлово|1034|УИК №1034|1758|1400|499|36|865|36|498|18|516|0|0|11|39|66|53|347|
1|Москва|6|район Измайлово|1035|УИК №1035|2104|1600|620|29|951|29|620|22|627|0|0|11|48|97|57|414|
1|Москва|6|район Измайлово|1036|УИК №1036|1616|1200|433|38|729|38|433|15|456|0|0|12|42|79|47|276|
1|Москва|6|район Измайлово|1037|УИК №1037|1195|900|340|40|520|40|340|11|369|0|0|10|26|48|28|257|
1|Москва|6|район Измайлово|1038|УИК №1038|1927|1500|512|37|951|37|511|19|529|0|0|8|56|70|48|347|
1|Москва|6|район Измайлово|1039|УИК №1039|2274|1800|612|70|1118|70|610|19|661|0|0|11|59|80|47|464|
1|Москва|6|район Измайлово|1040|УИК №1040|1964|1500|545|46|909|46|545|24|567|0|0|11|33|98|53|372|
1|Москва|6|район Измайлово|1041|УИК №1041|2018|1600|516|29|1055|29|513|29|513|0|0|14|40|95|40|324|
1|Москва|6|район Измайлово|1042|УИК №1042|1364|1000|353|35|612|35|353|18|370|0|0|12|27|61|25|245|
1|Москва|6|район Измайлово|1043|УИК №1043|1686|1300|485|33|782|33|479|17|495|0|0|9|45|55|51|335|
1|Москва|6|район Измайлово|1044|УИК №1044|1781|1400|493|39|868|39|493|18|514|0|0|17|56|78|45|318|
1|Москва|6|район Измайлово|1045|УИК №1045|1517|1100|363|19|718|19|363|14|368|0|0|8|32|34|28|266|
1|Москва|6|район Измайлово|1046|УИК №1046|1080|800|337|9|454|9|337|17|329|0|0|4|38|55|33|199|
1|Москва|6|район Измайлово|1047|УИК №1047|1322|1000|381|28|591|28|381|10|399|0|0|6|40|59|35|259|
1|Москва|6|район Измайлово|1048|УИК №1048|2199|1700|603|43|1054|43|603|27|619|0|0|16|40|99|57|407|
1|Москва|6|район Измайлово|1049|УИК №1049|712|550|199|9|342|9|199|14|194|0|0|6|15|23|25|125|
1|Москва|6|район Измайлово|1050|УИК №1050|1953|1500|533|26|941|26|533|20|539|0|0|9|40|53|55|382|
1|Москва|6|район Измайлово|1051|УИК №1051|1708|1300|491|20|789|19|491|18|492|0|0|8|38|73|49|324|
1|Москва|6|район Измайлово|1052|УИК №1052|2303|1800|650|44|1106|44|650|20|674|0|0|18|70|79|66|441|
1|Москва|6|район Измайлово|1053|УИК №1053|1993|1500|607|38|855|38|607|14|631|0|0|10|53|91|56|421|
1|Москва|6|район Измайлово|1054|УИК №1054|2323|1800|668|26|1106|26|667|21|672|0|0|22|50|88|52|460|
1|Москва|6|район Измайлово|1055|УИК №1055|2272|1800|660|40|1100|40|659|14|685|0|0|18|55|120|66|426|
1|Москва|6|район Измайлово|1056|УИК №1056|1264|1000|355|17|628|17|353|15|355|0|0|8|22|57|36|232|
1|Москва|6|район Измайлово|1057|УИК №1057|1741|1300|533|36|731|36|533|20|549|0|0|14|36|84|42|373|
